営業者氏名,郵便番号,営業所所在地,営業所所在地ビル名,営業所電話番号,屋号,業種,業態,指令番号県記号,指令番号発令記号,指令番号（許可番号）,許可終了日,許可・交付日,初年度許可・交付日
,812-0018,福岡市博多区住吉五丁目１０番７号,第３住吉ハイツ　１Ｆ　１０１号,092-431-9703,うどん平,飲食店営業,うどん屋,福,博保衛,31010765,2026/3/31,2020/1/16,2020/1/16
株式会社　ダイヤ,812-0013,福岡市博多区博多駅東二丁目４番１４号,第２ヤマトビル　６階　６０１号,092-475-8787,Ｃｌｕｂ　花うらら　博多駅前店,飲食店営業,カフェー,福,博保衛,31010683,2026/3/31,2020/1/16,2020/1/16
株式会社　いちむじん,812-0004,福岡市博多区榎田二丁目３番１号,村下ビル　１Ｆ,092-436-2350,いちむじん,飲食店営業,一般食堂,福,博保衛,31010743,2026/3/31,2020/1/17,2020/1/17
井崎珈琲有限会社,812-0011,福岡市博多区博多駅前二丁目２番１号,Ｂ２Ｆ,092-441-2757,カフェ　ミエル,飲食店営業,一般食堂,福,博保衛,31010776,2026/3/31,2020/1/17,2020/1/17
,810-0801,福岡市博多区中洲四丁目１番１３号,第一きよたけビル　２階　Ｄ室,092-291-2056,ｂｏｎｄ．Ａ,飲食店営業,カフェー,福,博保衛,31010780,2026/3/31,2020/1/20,2020/1/20
株式会社　タケノ,812-0016,福岡市博多区博多駅南四丁目１８番２７号,,092-451-0078,株式会社タケノ,食肉販売業,一般,福,博保衛,31330046,2026/3/31,2020/1/21,2020/1/21
株式会社　タケノ,812-0016,福岡市博多区博多駅南四丁目１８番２７号,,092-451-0078,株式会社タケノ,そうざい製造業,なし,福,博保衛,31570010,2026/3/31,2020/1/21,2020/1/21
,812-0018,福岡市博多区住吉二丁目１２番１０号,キャセイビル倉庫　１Ｆ,092-402-0192,ＳＡＢＯＲＩＢＡ,飲食店営業,バー,福,博保衛,31010627,2026/3/31,2020/1/21,2020/1/21
株式会社　ＡＤＤ　ＰＲＯＭＯＴＩＯＮ,810-0801,福岡市博多区中洲五丁目３番１８号,ＴＭ－１６ビルディング　６階,092-402-1516,ＡＩＲ　ＰＵＲＥ,飲食店営業,カフェー,福,博保衛,31010716,2026/3/31,2020/1/22,2020/1/22
社会福祉法人　そよかぜの会,812-0887,福岡市博多区三筑二丁目９番３号,,092-581-2100,食の工房　リンゴの唄,菓子製造業,一般,福,博保衛,31050064,2026/3/31,2020/1/23,2020/1/23
,812-0883,福岡市博多区南本町一丁目３番１１号,松隈ビル　１Ｆ,092-592-6811,ＲＩＶＥＲ’Ｓ,飲食店営業,バー,福,博保衛,31010796,2026/3/31,2020/1/27,2020/1/27
株式会社　ケージーシー,810-0801,福岡市博多区中洲四丁目７番２１号,中洲ナカノビル　５階　Ｂ号室,092-281-8448,ＳＴＹＬＩＳＨ　ＣＡＦＥ　ＣＯＣＯ,飲食店営業,カフェー,福,博保衛,31010785,2026/3/31,2020/1/27,2020/1/27
株式会社　ＳＥＶＥＮ,810-0801,福岡市博多区中洲二丁目６番１２号,中洲セントラル第５ラインビル　２階　８，９，１１号室,,ＣＬＵＢ　Ｒｅｖｅ,飲食店営業,カフェー,福,博保衛,31010569,2026/3/31,2020/1/27,2020/1/27
,810-0801,福岡市博多区中洲二丁目７番２９号,インフォスタービル　２階　２０１号室,,ハイヒール,飲食店営業,バー,福,博保衛,31010794,2026/3/31,2020/1/29,2020/1/29
,812-0037,福岡市博多区御供所町１番９号,,092-263-6301,ファミリーマート　博多御供所町店,飲食店営業,一般食堂,福,博保衛,31010804,2026/3/31,2020/2/3,2020/2/3
くしえいと　有限会社,812-0013,福岡市博多区博多駅東二丁目４番６号,ハカタベビル１Ｆ　１０４,092-472-7679,焼とり　司,飲食店営業,一般食堂,福,博保衛,31010781,2026/3/31,2020/2/4,2020/2/4
,812-0893,福岡市博多区那珂三丁目２３番３号,,092-483-5677,あぶり家　笑吉,飲食店営業,一般食堂,福,博保衛,31010783,2026/3/31,2020/2/6,2020/2/6
株式会社　サンツリー,812-0044,福岡市博多区千代四丁目３２番１号,博多メディカル専門学校　１Ｆ,092-643-6711,ビストロ・オーバスクー,飲食店営業,一般食堂,福,博保衛,31010826,2026/3/31,2020/2/7,2020/2/7
日本マクドナルド株式会社,812-0044,福岡市博多区千代一丁目２番１２号,,,マクドナルド　吉塚パピヨンガーデン店,飲食店営業,一般食堂,福,博保衛,31010811,2026/3/31,2020/2/7,2020/2/7
,812-0026,福岡市博多区上川端町１０番１５号,ローズマンション　２Ｆ,092-402-2777,バー　２４００,飲食店営業,バー,福,博保衛,31010815,2026/3/31,2020/2/7,2020/2/7
株式会社　ＫＡＮＯＩ,812-0006,福岡市博多区上牟田三丁目１１番７号,,092-402-0566,麺屋　波のおと,飲食店営業,中華店,福,博保衛,31010764,2026/3/31,2020/2/12,2020/2/12
,812-0018,福岡市博多区住吉二丁目１６番１号,メゾン住吉　１Ｆ　１０３,092-291-6110,えんち,飲食店営業,一般食堂,福,博保衛,31010805,2026/3/31,2020/2/12,2020/2/12
有限会社　白水鮮魚店,812-0873,福岡市博多区西春町一丁目３番２１号,,092-501-8232,有限会社白水鮮魚店,魚介類販売業,一般,福,博保衛,31130046,2026/3/31,2020/2/13,2020/2/13
,812-0016,福岡市博多区博多駅南三丁目１０番２３号,田平ビル　１Ｆ,092-441-8577,絵里,飲食店営業,バー,福,博保衛,31010841,2026/3/31,2020/2/14,2020/2/14
株式会社　ミナシア,812-0011,福岡市博多区博多駅前三丁目２２番１９号,１Ｆ,092-476-9111,KOKOHOTEL博多駅前,飲食店営業,旅館,福,博保衛,31010828,2026/3/31,2020/2/14,2020/2/14
,812-0016,福岡市博多区博多駅南四丁目１２番３３号,,092-431-3301,すし処　夢膳,飲食店営業,すし屋,福,博保衛,31020441,2026/3/31,2020/2/17,1996/3/8
株式会社　ケーアイプラン,812-0012,福岡市博多区博多駅中央街１番１号,,092-481-1144,鳥ＺＥＮ亭　博多駅筑紫口店,飲食店営業,一般食堂,福,博保衛,31020445,2026/3/31,2020/2/18,2002/3/26
株式会社　快適空間創造研究所,812-0012,福岡市博多区博多駅中央街６番１１号,内田ビル　１Ｆ,092-441-0066,よかたい総本店,飲食店営業,料理店,福,博保衛,31020442,2026/3/31,2020/2/18,1978/4/1
,810-0801,福岡市博多区中洲三丁目５番１１号,松和ビル　４Ｆ－Ａ,092-282-9557,ぽちゃ専スナックとんデレラ,飲食店営業,バー,福,博保衛,31020446,2026/3/31,2020/2/18,2014/4/1
,812-0018,福岡市博多区住吉四丁目１５番１号,西村ビル　Ｂ１Ｆ,092-776-9390,ブギ,飲食店営業,バー,福,博保衛,31020444,2026/3/31,2020/2/18,2014/3/28
株式会社イーストイ,812-0894,福岡市博多区諸岡二丁目４番１号,大和ビル　１Ｆ　１０２,092-572-3070,ピザポケット諸岡店,飲食店営業,仕出し,福,博保衛,31020443,2026/3/31,2020/2/18,2014/3/19
株式会社　鈴懸,812-0034,福岡市博多区下呉服町４番５号,,092-291-2867,鈴懸,菓子製造業,一般,福,博保衛,31060022,2026/3/31,2020/2/19,1996/3/13
,812-0885,福岡市博多区相生町三丁目２番３０号,シャトーカンコウビル　１Ｆ　１０１,,スナックＪＵＮ,飲食店営業,バー,福,博保衛,31010854,2026/3/31,2020/2/19,2020/2/19
,812-0018,福岡市博多区住吉四丁目９番３号,,092-483-2721,スナック　ＫＵＭＡ,飲食店営業,バー,福,博保衛,31020448,2026/3/31,2020/2/20,2002/3/14
有限会社　たつみ寿司,812-0027,福岡市博多区下川端町８番４３１号,,092-263-1661,たつみ寿司　総本店,飲食店営業,すし屋,福,博保衛,31020449,2026/3/31,2020/2/20,2008/3/17
増田石油　株式会社,812-0044,福岡市博多区千代一丁目２番１号,,092-402-0335,コメダ珈琲店　ブランチ博多パピヨンガーデン店,飲食店営業,一般食堂,福,博保衛,31010791,2026/3/31,2020/2/20,2020/2/20
株式会社　桝元,812-0044,福岡市博多区千代一丁目２番１号,,092-292-1239,辛麺屋　桝元　ＢＲＡＮＣＨ博多パピヨンガーデン店,飲食店営業,一般食堂,福,博保衛,31010848,2026/3/31,2020/2/20,2020/2/20
,810-0801,福岡市博多区中洲三丁目４番７号,バッカス館　２階　２０３号,,ａｒｏｍｅ,飲食店営業,バー,福,博保衛,31010870,2026/3/31,2020/2/20,2020/2/20
,810-0801,福岡市博多区中洲四丁目１番９号,ナイトプラザ中洲　５Ｆ,092-291-5054,スナック　北島,飲食店営業,一般食堂,福,博保衛,31020450,2026/3/31,2020/2/20,1988/3/8
,812-0894,福岡市博多区諸岡一丁目４番３４号,,092-210-5844,もつ鍋　楽,飲食店営業,一般食堂,福,博保衛,31020451,2026/3/31,2020/2/21,2008/2/7
,812-0858,福岡市博多区月隈二丁目３番９号,,,パティスリー　ベット　ア　ボン　デュー,菓子製造業,一般,福,博保衛,31050069,2026/3/31,2020/2/21,2020/2/21
株式会社　資さん,812-0897,福岡市博多区半道橋一丁目９番１８号,,092-710-7106,資さんうどん　半道橋店,菓子製造業,一般,福,博保衛,31050068,2026/3/31,2020/2/21,2020/2/21
株式会社　資さん,812-0897,福岡市博多区半道橋一丁目９番１８号,,092-710-7106,資さんうどん　半道橋店,飲食店営業,うどん屋,福,博保衛,31010824,2026/3/31,2020/2/21,2020/2/21
,812-0878,福岡市博多区竹丘町二丁目５番２１号,,092-558-9417,ほほえみバル,飲食店営業,一般食堂,福,博保衛,31020455,2026/3/31,2020/2/25,2014/2/4
株式会社　畠中,812-0032,福岡市博多区石城町８番１号,畠中ビル　１Ｆ,092-291-4153,セブンイレブン　博多築港店,飲食店営業,一般食堂,福,博保衛,31020453,2026/3/31,2020/2/25,1991/3/20
株式会社ローソン・ユナイテッドシネマ,812-0018,福岡市博多区住吉一丁目２番２２号,キャナルシティ博多アミューズメント棟６Ｆ,092-291-0730,ユナイテッド・シネマ　キャナルシティ　１３,飲食店営業,一般食堂,福,博保衛,31020458,2026/3/31,2020/2/25,2002/3/28
株式会社ローソン・ユナイテッドシネマ,812-0018,福岡市博多区住吉一丁目２番２２号,キャナルシティ博多アミューズメント棟８Ｆ,092-291-0730,ユナイテッド・シネマ　キャナルシティ　１３,飲食店営業,一般食堂,福,博保衛,31020456,2026/3/31,2020/2/25,2002/3/28
株式会社ローソン・ユナイテッドシネマ,812-0018,福岡市博多区住吉一丁目２番２２号,キャナルシティ博多アミューズメント棟１０F,092-291-0730,ユナイテッド・シネマ　キャナルシティ　１３,飲食店営業,一般食堂,福,博保衛,31020457,2026/3/31,2020/2/25,2002/3/28
,812-0884,福岡市博多区寿町二丁目９番４号,,092-572-5534,南福岡　ざっしょ町　竜一,飲食店営業,一般食堂,福,博保衛,31020460,2026/3/31,2020/2/25,2014/1/15
株式会社　クプロ,812-0004,福岡市博多区榎田一丁目２番６号,,092-451-5630,らーめん屋　鳳凛　榎田店,飲食店営業,一般食堂,福,博保衛,31010802,2026/3/31,2020/2/26,2020/2/26
シダックス大新東ヒューマンサービス　株式会社,812-0877,福岡市博多区元町三丁目１番１号,,092-581-0208,シダックス大新東ヒューマンサービス（株）　福岡市立那珂南小学校店,飲食店営業,一般食堂,福,博保衛,31020465,2026/3/31,2020/2/26,2014/3/26
,812-0879,福岡市博多区銀天町一丁目６番７号,,092-571-4341,ミエル,飲食店営業,カフェー,福,博保衛,31020463,2026/3/31,2020/2/26,2002/3/18
,812-0035,福岡市博多区中呉服町２番２０号,博多中央ビル　Ｂ１Ｆ,092-271-0280,木馬,飲食店営業,バー,福,博保衛,31020464,2026/3/31,2020/2/26,2002/2/28
株式会社　ポールスター,812-0044,福岡市博多区千代一丁目２番１号,,092-643-6636,ケンタッキーフライドチキン　パピヨンガーデン店,飲食店営業,一般食堂,福,博保衛,31010777,2026/3/31,2020/2/27,2020/2/27
,812-0018,福岡市博多区住吉四丁目９番２号,,092-471-9478,くらけん,飲食店営業,酒房,福,博保衛,31020468,2026/3/31,2020/2/27,1987/1/8
株式会社　プレナス・,812-0044,福岡市博多区千代一丁目２番１号,ＢＲＡＮＣＨ博多パピヨンガーデン,092-686-2050,ＭＫレストラン　ブランチ博多店,飲食店営業,一般食堂,福,博保衛,31010803,2026/3/31,2020/2/27,2020/2/27
,810-0801,福岡市博多区中洲四丁目１番６号,ライオンビル中洲館　１Ｆ,092-262-3453,佐藤,飲食店営業,一般食堂,福,博保衛,31020469,2026/3/31,2020/2/27,2002/3/18
株式会社　甲羅,812-0894,福岡市博多区諸岡一丁目６番３９号,,092-593-0141,博多甲羅本店,飲食店営業,一般食堂,福,博保衛,31010833,2026/3/31,2020/2/27,2020/2/27
スターバックスコーヒージャパン　株式会社,812-0012,福岡市博多区博多駅中央街１番１号,ＪＲ博多シティ　３Ｆ　アミュプラザ博多,092-432-8085,スターバックスコーヒー　アミュプラザ博多３階店,飲食店営業,一般食堂,福,博保衛,31020466,2026/3/31,2020/2/27,2014/2/26
株式会社　Fa-Tus,810-0801,福岡市博多区中洲四丁目３番１８号,東映プラザビル　９階　全号室,092-281-7711,ｃｌｕｂ　Ｒｏｓｓｏ,飲食店営業,カフェー,福,博保衛,31010775,2026/3/31,2020/2/27,2020/2/27
,812-0011,福岡市博多区博多駅前二丁目２０番１号,大博多ビル　２Ｆ,092-481-3412,おか,飲食店営業,一般食堂,福,博保衛,31020472,2026/3/31,2020/2/28,1991/1/14
有限会社　エムエース,812-0042,福岡市博多区豊二丁目６番２２号,,092-436-4660,(有)エムエース,飲食店営業,主として喫茶,福,博保衛,31010887,2026/3/31,2020/2/28,2020/2/28
,812-0042,福岡市博多区豊一丁目９番４６号,,092-473-8100,セブン－イレブン　博多豊１丁目店,飲食店営業,一般食堂,福,博保衛,31020470,2026/3/31,2020/2/28,2008/2/19
株式会社　１＆Ｄ,812-0044,福岡市博多区千代一丁目２番１号,ＢＲＡＮＣＨ博多パピヨンガーデン,092-632-4129,ワンカルビ　パピヨンガーデン店,飲食店営業,一般食堂,福,博保衛,31010806,2026/3/31,2020/2/28,2020/2/28
有限会社　吉田青果,812-0017,福岡市博多区美野島二丁目８番２５号,,092-260-1344,SARASA,飲食店営業,主として喫茶,福,博保衛,31010851,2026/3/31,2020/2/28,2020/2/28
,812-0041,福岡市博多区吉塚六丁目６番６５号,,092-629-5086,居酒屋　本陣,飲食店営業,一般食堂,福,博保衛,31020478,2026/3/31,2020/3/2,2002/1/4
株式会社　セガフェイブ,812-0027,福岡市博多区下川端町３番１号,博多リバレインセンタービル　６階,092-291-8902,ジャムおじさんのパン工場,飲食店営業,一般食堂,福,博保衛,31020476,2026/3/31,2020/3/2,2014/3/25
株式会社　セガフェイブ,812-0027,福岡市博多区下川端町３番１号,博多リバレインセンタービル　６階,092-291-8902,ジャムおじさんのパン工場,菓子製造業,一般,福,博保衛,31060023,2026/3/31,2020/3/2,2014/3/25
有限会社　鶴亀,812-0011,福岡市博多区博多駅前三丁目７番１０号,,092-431-6706,（有）鶴亀,飲食店営業,すし屋,福,博保衛,31020484,2026/3/31,2020/3/3,1991/1/17
株式会社　ます水,812-0025,福岡市博多区店屋町３番１号,１階,092-263-6646,ます水,飲食店営業,すし屋,福,博保衛,31020482,2026/3/31,2020/3/3,2014/1/7
,812-0882,福岡市博多区麦野五丁目１番１４号,,,だるま商店,飲食店営業,そうざい,福,博保衛,31010893,2026/3/31,2020/3/3,2020/3/3
,810-0801,福岡市博多区中洲三丁目１番８号,ＴＭ－３２ＢＵＩＬＤＩＮＧ　１階　１０４号室,,ｃｏｃｏｒｏ,飲食店営業,バー,福,博保衛,31010878,2026/3/31,2020/3/3,2020/3/3
,812-0014,福岡市博多区比恵町１番１８号,トーカン福岡第二ビル　Ｂ１０１－２号室,,道ｒｏａｄ,飲食店営業,一般食堂,福,博保衛,31010899,2026/3/31,2020/3/3,2020/3/3
ＪＲ九州フードサービス　株式会社,812-0046,福岡市博多区吉塚本町１３番２７号,１０２号室,092-292-7877,ゼッテリア吉塚駅前店,飲食店営業,一般食堂,福,博保衛,31020483,2026/3/31,2020/3/3,2014/2/10
,812-0024,福岡市博多区綱場町３番１１号,,092-272-1208,竜馬,飲食店営業,一般食堂,福,博保衛,31020485,2026/3/31,2020/3/3,1996/2/29
有限会社　新栄福岡,812-0011,福岡市博多区博多駅前一丁目２３番４号,,092-474-1628,味そ*や博多龍龍軒　*「そ」は口へんに曽,飲食店営業,一般食堂,福,博保衛,31020486,2026/3/31,2020/3/3,1991/3/14
ＪＲ九州ファーストフーズ株式会社,812-0046,福岡市博多区吉塚本町１３番２７号,,092-260-1015,ＳＢＣＪＲ吉塚店,飲食店営業,一般食堂,福,博保衛,31020480,2026/3/31,2020/3/3,2014/2/10
株式会社　Ｊ　ＰＨＯＥＮＩＸ,810-0801,福岡市博多区中洲三丁目２番１２号,第３ラインビル　地下１階　３，４，５号室,092-271-5550,ＣＬＵＢ　ＪＵＮ,飲食店営業,カフェー,福,博保衛,31010813,2026/3/31,2020/3/3,2020/3/3
有限会社　博多一心亭,812-0893,福岡市博多区那珂二丁目２２番８号,,092-411-4494,（有）博多一心亭,飲食店営業,一般食堂,福,博保衛,31020493,2026/3/31,2020/3/4,1984/1/13
学校法人　福岡安達学園,812-0011,福岡市博多区博多駅前三丁目１６番３号,３Ｆ,092-477-1011,専門学校　福岡ビジョナリーアーツ　３Ｆ,菓子製造業,一般,福,博保衛,31060024,2026/3/31,2020/3/4,2008/2/13
,812-0884,福岡市博多区寿町三丁目１番４号,,092-592-1295,スナック　ビビアン,飲食店営業,バー,福,博保衛,31020492,2026/3/31,2020/3/4,2014/3/17
リタファーム　株式会社,812-0021,福岡市博多区築港本町１３番６号,ベイサイドプレイス博多Ａ館　１Ｆ,092-282-0288,リタの農園,飲食店営業,一般食堂,福,博保衛,31020490,2026/3/31,2020/3/4,2014/2/25
株式会社福丸商店,812-0887,福岡市博多区三筑二丁目１５番１号,,092-502-3535,セブン－イレブン　博多三筑２丁目店,飲食店営業,一般食堂,福,博保衛,31020489,2026/3/31,2020/3/4,2008/2/27
株式会社　阪神ミート,812-0894,福岡市博多区諸岡一丁目８番７号,マルショク店内,092-584-8991,阪神ミート,食肉販売業,一般,福,博保衛,31340050,2026/3/31,2020/3/5,2002/2/7
,812-0016,福岡市博多区博多駅南四丁目１１番２８号,大島ビル　１Ｆ,092-431-0893,さかえ,飲食店営業,一般食堂,福,博保衛,31020497,2026/3/31,2020/3/5,2008/2/1
株式会社　リブマックスフーズ,810-0801,福岡市博多区中洲五丁目４番２１号,ホテルリブマックス博多中洲　１階,092-273-0050,マックスカフェ博多中洲,飲食店営業,一般食堂,福,博保衛,31010884,2026/3/31,2020/3/5,2020/3/5
株式会社　かじや水産,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　水産,魚介類販売業,一般,福,博保衛,31130047,2026/3/31,2020/3/5,2020/3/5
株式会社　かじや水産,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　寿司,飲食店営業,すし屋,福,博保衛,31010761,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　青果,菓子製造業,一般,福,博保衛,31050062,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　精肉,食肉販売業,一般,福,博保衛,31330045,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　ミートデリカ,飲食店営業,弁当屋,福,博保衛,31010759,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　デリカ,飲食店営業,弁当屋,福,博保衛,31010758,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　デリカ,菓子製造業,一般,福,博保衛,31050061,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　ベーカリー,菓子製造業,一般,福,博保衛,31050063,2026/3/31,2020/3/5,2020/3/5
株式会社　ハローデイ,812-0044,福岡市博多区千代一丁目２番１号,,092-260-8624,ハローデイＢＲＡＮＣＨ博多パピヨンガーデン店　ベーカリー,飲食店営業,弁当屋,福,博保衛,31010760,2026/3/31,2020/3/5,2020/3/5
株式会社ミルフォード．Ｕ,812-0893,福岡市博多区那珂五丁目９番２８号,川鍋ビル　１－２号室,092-558-2723,七草,飲食店営業,弁当屋,福,博保衛,31020501,2026/3/31,2020/3/6,2014/3/4
,812-0007,福岡市博多区東比恵四丁目６番７号,,092-411-9787,生島ミート,食肉販売業,一般,福,博保衛,31340051,2026/3/31,2020/3/6,2008/2/20
,812-0046,福岡市博多区吉塚本町４番１２号,,,鶏専門　麺屋蓮々,飲食店営業,一般食堂,福,博保衛,31010898,2026/3/31,2020/3/6,2020/3/6
有限会社　はじめの一歩,812-0011,福岡市博多区博多駅前三丁目７番１５号,,092-471-1850,海鮮屋　はじめの一歩,食肉販売業,一般,福,博保衛,31340052,2026/3/31,2020/3/6,2014/2/17
株式会社　博多エクセルホテル東急,810-0801,福岡市博多区中洲四丁目６番７号,,092-262-0109,アソシエイツラウンジ,飲食店営業,旅館,福,博保衛,31020503,2026/3/31,2020/3/6,2008/3/12
,810-0801,福岡市博多区中洲四丁目１番１２号,,092-291-3122,Ｂａｒ　ロッホ,飲食店営業,一般食堂,福,博保衛,31020504,2026/3/31,2020/3/6,2008/2/14
株式会社　ＣＨＡＭＢＥＲＳ,812-0033,福岡市博多区大博町８番２６号,Ｆｕｋｕｏｋａ　Ｇｕｅｓｔｈｏｕｓｅ　ＳＨＩＰ　１Ｆ,092-402-1908,Ｆｕｋｕｏｋａ　Ｇｕｅｓｔｈｏｕｓｅ　ＳＨＩＰ,飲食店営業,バー,福,博保衛,31010801,2026/3/31,2020/3/6,2020/3/6
,812-0861,福岡市博多区浦田一丁目１７番２６号,,092-504-7071,セブンイレブン博多浦田１丁目店,飲食店営業,一般食堂,福,博保衛,31020508,2026/3/31,2020/3/9,2014/3/14
,812-0036,福岡市博多区上呉服町１１番１５号,,092-262-1169,めしや漠,飲食店営業,一般食堂,福,博保衛,31020507,2026/3/31,2020/3/9,2014/2/21
メゾン・ド・フジイ　有限会社,812-0011,福岡市博多区博多駅前三丁目５番２０号,,092-474-6807,焼肉　北斎,飲食店営業,一般食堂,福,博保衛,31020509,2026/3/31,2020/3/9,2008/2/25
有限会社　ワイエスエム,812-0011,福岡市博多区博多駅前一丁目４番１号,第１生命ビル　１Ｆ,092-483-7310,ローソン　博多駅大博通り店,飲食店営業,一般食堂,福,博保衛,31020506,2026/3/31,2020/3/9,2002/2/27
,810-0801,福岡市博多区中洲三丁目１番１号,新川丈ビル　７Ｆ,092-263-0401,エスカペイド,飲食店営業,一般食堂,福,博保衛,31020513,2026/3/31,2020/3/9,2002/2/21
株式会社　第一興商,812-0012,福岡市博多区博多駅中央街６番３号,博多中央街ビル　８Ｆ,092-477-3255,じぶんどき博多筑紫口店,飲食店営業,一般食堂,福,博保衛,31020510,2026/3/31,2020/3/9,2014/1/15
,812-0017,福岡市博多区美野島二丁目１番２８号,ラポート博多　２Ｆ,092-482-3221,ＣＡＦＥ＆ＢＩＬＬＩＡＲＤ　Ｐ－ＳＴＹＬＥ,飲食店営業,一般食堂,福,博保衛,31020522,2026/3/31,2020/3/10,1996/3/21
,812-0018,福岡市博多区住吉四丁目１５番６号,,092-441-0377,入船食堂,飲食店営業,一般食堂,福,博保衛,31020518,2026/3/31,2020/3/10,1988/1/29
,812-0023,福岡市博多区奈良屋町９番２１号,,092-291-5171,アルプス,飲食店営業,一般食堂,福,博保衛,31020516,2026/3/31,2020/3/10,2014/1/16
株式会社　松屋フーズ,812-0011,福岡市博多区博多駅前三丁目３０番２９号,タイセイ第２ビル,092-412-1855,松屋・マイカリー食堂　博多駅前通り店,飲食店営業,一般食堂,福,博保衛,31020520,2026/3/31,2020/3/10,2002/3/27
株式会社　ライツ・イン,812-0027,福岡市博多区下川端町３番１号,博多リバレイン　５Ｆ,092-291-8952,ドキンズハートシェイプカフェ福岡,飲食店営業,一般食堂,福,博保衛,31020517,2026/3/31,2020/3/10,2014/3/25
,812-0026,福岡市博多区上川端町１２番３号,２Ｆ,092-262-2730,イタリアンバール　カプリ,飲食店営業,一般食堂,福,博保衛,31020528,2026/3/31,2020/3/11,2014/2/10
